Title,Artist,Album
Cry Baby (Extended),Clean Bandit,Cry Baby (Extended)
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Speak Your Mind
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato)
Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson)
Worth Your While,CLNGR/Greylyn,Find Myself
A Head Full of Dreams,Coldplay,A Head Full of Dreams
Adventure of a Lifetime,Coldplay,Adventure of a Lifetime
ALiEN HiTS/ALiEN RADiO,Coldplay,Moon Music (Full Moon Edition)
feelslikeimfallinginlove,Coldplay,Moon Music (Full Moon Edition)
Fun (feat. Tove Lo),Coldplay,A Head Full of Dreams
GOOD FEELiNGS,Coldplay,Moon Music (Full Moon Edition)
Hymn for the Weekend,Coldplay,A Head Full of Dreams
My Universe,Coldplay,Music Of The Spheres
Paradise,Coldplay,Mylo Xyloto
People of The Pride,Coldplay,Music Of The Spheres
Something Just Like This,Coldplay,Something Just Like This
Up&Up,Coldplay,A Head Full of Dreams
Viva La Vida,Coldplay,Viva La Vida (Prospekt's March Edition)
WE PRAY (Elyanna Version),Coldplay,WE PRAY (Elyanna Version)
WE PRAY (Jasleen Royal Version),Coldplay,WE PRAY (Jasleen Royal Version)
WE PRAY,Coldplay,Moon Music (Full Moon Edition)
∞,Coldplay,Music Of The Spheres
On My Own,Darci,On My Own
Holding On,Dasu,Holding On
Turn Back Time,Dasu,Turn Back Time
Youth,DAUGHTER,If You Leave
2U (feat. Justin Bieber),David Guetta,2U (feat. Justin Bieber)
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me
Complicated (feat. Kiiara),David Guetta,Complicated (feat. Kiiara)
I'm Good (Blue),David Guetta,I'm Good (Blue)
Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne)
So Far Away (feat. Jamie Scott & Romy Dya),David Guetta,So Far Away (feat. Jamie Scott & Romy Dya)
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)
Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition)
Hide Away,Daya,"Sit Still, Look Pretty"
New,Daya,New
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty"
Confident,Demi Lovato,Confident (Deluxe Edition)
Heart Attack,Demi Lovato,Heart Attack
Met Him Last Night,Demi Lovato,Dancing With The Devil…The Art of Starting Over
Sugar & Brownies,DHARIA,Sugar & Brownies
Coming Home,Diddy - Dirty Money,Last Train To Paris (Deluxe)
The Hum (Lost Frequencies Remix),Dimitri Vegas & Like Mike,The Hum (Lost Frequencies Remix)
The Hum,Dimitri Vegas & Like Mike,Armada 15 Years
Color Blind,Diplo,Color Blind
Revolution (feat. Imanos & Faustix & Kai),Diplo,Revolution
Six Days (Remix),DJ Shadow,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
Six Days,DJ Shadow,The Private Press
Let Me Love You,DJ Snake,Encore
Selfish Love (Tiësto Remix),DJ Snake,Selfish Love (Tiësto Remix)
Selfish Love,DJ Snake,Selfish Love
Taki Taki,DJ Snake,Carte Blanche
End of Beginning,Djo,DECIDE
Cake By The Ocean,DNCE,DNCE
What It Is (Block Boy),Doechii,What It Is (Versions)
Need to Know,Doja Cat,Planet Her
Paint The Town Red,Doja Cat,Paint The Town Red
Boyfriend,Dove Cameron,Boyfriend
Circadian Rhythm,Drake,100 GIGS
God's Plan,Drake,Scorpion
One Dance,Drake,Views
Be the One,Dua Lipa,Dua Lipa (Deluxe)
Don't Start Now,Dua Lipa,Don't Start Now
Hotter Than Hell,Dua Lipa,Dua Lipa (Complete Edition)
Levitating,Dua Lipa,Future Nostalgia
Physical,Dua Lipa,Physical
Swan Song,Dua Lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")"
Come Undone,Duran Duran,Duran Duran
i miss you (skin to skin),Dylan Conrique,i miss you (skin to skin)
All of the Stars,Ed Sheeran,Nos étoiles contraires: Music From The Motion Picture
Bad Habits,Ed Sheeran,Bad Habits
Barcelona,Ed Sheeran,÷ (Deluxe)
Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid)
Castle on the Hill,Ed Sheeran,÷ (Deluxe)
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock)
Happier,Ed Sheeran,÷ (Deluxe)
Perfect,Ed Sheeran,÷ (Deluxe)
Photograph,Ed Sheeran,x (Deluxe Edition)
Shape of You,Ed Sheeran,Shape of You
Shivers (Acoustic Version),Ed Sheeran,Shivers (Acoustic Version)
Shivers,Ed Sheeran,Shivers
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project
Stereo Love,Edward Maya,Stereo Love
domino szn,Ella Eyre,domino szn
Burn,Ellie Goulding,Halcyon Days
Lights,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version)
Lights,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version)
"Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,Delirium (Deluxe)
Something In The Way You Move,Ellie Goulding,Delirium (Deluxe)
I Think They Call This Love,Elliot James Reay,I Think They Call This Love
Numb Little Bug,Em Beihold,Numb Little Bug
Umbrella,Ember Island,Umbrella
Good Guy,Eminem,Kamikaze
Love The Way You Lie,Eminem,Recovery
Mockingbird,Eminem,Encore (Deluxe Version)
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe)
River,Eminem,Revival
Sing For The Moment,Eminem,The Eminem Show
Stan,Eminem,Curtain Call: The Hits
The Monster,Eminem,The Marshall Mathers LP2 (Deluxe)
The Real Slim Shady,Eminem,Curtain Call: The Hits
Venom (Music From The Motion Picture),Eminem,Kamikaze
Origami (feat. DJ Maphorisa),Era Istrefi,Origami (feat. DJ Maphorisa)
SLAY!,Eternxlkz,SLAY!
Centuries,Fall Out Boy,American Beauty/American Psycho
On My Way,Farruko,On My Way
Cry For You,Faul & Wad,Cry For You
Fading Wind,Feint,Fading Wind
That's My Girl,Fifth Harmony,7/27 (Deluxe)
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe)
Dramamine,Flawed Mangoes,Dramamine / Fragility
Wild Ones (feat. Sia),Flo Rida,Wild Ones (feat. Sia)
Say It,Flume,Skin
Unforgettable (feat. Swae Lee),French Montana,Jungle Rules
Capsize,FRENSHIP,Capsize
Ava,Fámy,Ava
Him & I,G-Eazy,The Beautiful & Damned
"Me, Myself & I",G-Eazy,When It's Dark Out
Sober (feat. Charlie Puth),G-Eazy,The Beautiful & Damned
Careless Whisper,George Michael,The Final
Mary On A Cross,Ghost,Seven Inches Of Satanic Panic
I Don’t Like Myself,Girli,Damsel in Distress
Cane Shuga,Glass Animals,How To Be A Human Being
Dreamland,Glass Animals,Dreamland
Heat Waves,Glass Animals,Dreamland
Somebody That I Used To Know,Gotye,Making Mirrors
That’s So True,Gracie Abrams,The Secret of Us (Deluxe)
"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, The American Idiot Broadway Company) (Album Version)",Green Day,American Idiot - The Original Broadway Cast Recording
Just For A Moment,Gryffin,Gravity Pt. 1
Red Lips (feat. Sam Bruno),GTA,DTG VOL. 1
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II (Deluxe Edition)
Capital Letters,Hailee Steinfeld,Fifty Shades Freed (Original Motion Picture Soundtrack)
Rock Bottom,Hailee Steinfeld,HAIZ
Bad At Love,Halsey,hopeless fountain kingdom (Deluxe)
Colors pt. II,Halsey,BADLANDS (Deluxe)
Colors,Halsey,BADLANDS (Deluxe)
Control,Halsey,BADLANDS
Ghost,Halsey,BADLANDS (Deluxe)
Graveyard,Halsey,Graveyard
Nightmare,Halsey,Nightmare
So Good,Halsey,So Good (Stripped)
Apollo,Hardwell,Apollo
Arcadia,Hardwell,United We Are (Extended Deluxe Edition)
Area51,Hardwell,United We Are (Extended Deluxe Edition)
Call Me A Spaceman,Hardwell,Spaceman
Don't Stop The Madness,Hardwell,United We Are (Extended Deluxe Edition)
Eclipse,Hardwell,United We Are (Extended Deluxe Edition)
Follow Me,Hardwell,United We Are (Extended Deluxe Edition)
Nothing Can Hold Us Down,Hardwell,United We Are (Extended Deluxe Edition)
United We Are,Hardwell,United We Are (Extended Deluxe Edition)
As It Was,Harry Styles,As It Was
All of the Stars,Hayd,All of the Stars
you were there for me,Henry Moodie,you were there for me
Soldier,Highlyy,Soldier
Backseat Driver,HONNE,OUCH
The Greatest Show,Hugh Jackman,The Greatest Showman (Original Motion Picture Soundtrack)
Team,Iggy Azalea,Team
Feel Good,Illenium,Awake
Nightlight,Illenium,Fallen Embers
Papercuts (feat. Vera Blue),Illy,Papercuts (feat. Vera Blue)
Bad Liar,Imagine Dragons,Origins (Deluxe)
Believer,Imagine Dragons,Evolve
Birds,Imagine Dragons,Birds
Bones,Imagine Dragons,Bones
Demons,Imagine Dragons,Night Visions
Enemy,Imagine Dragons,Enemy (from the series Arcane League of Legends)
Radioactive,Imagine Dragons,Night Visions
Roots,Imagine Dragons,Roots
Thunder,Imagine Dragons,Evolve
Walking The Wire,Imagine Dragons,Evolve
Whatever It Takes,Imagine Dragons,Evolve
Replay,Iyaz,Replay
Ginza,J Balvin,Energía
Mi Gente,J Balvin,Mi Gente
Mind (feat. Kai),Jack Ü,Skrillex and Diplo present Jack Ü
Makeba,Jain,Zanaka
Burn Slow,Jaira Burns,Burn Slow
Ugly,Jaira Burns,Ugly
Impossible,James Arthur,Impossible
Say You Won't Let Go,James Arthur,Say You Won't Let Go
The Hanging Tree,James Newton Howard,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)
Hard to Forget,Jane XØ,Hard to Forget (EP)
Whatcha Say,Jason Derulo,Jason Derulo (International)
Instruction,Jax Jones,Instruction
Down,Jay Sean,All Or Nothing
Make My Love Go (feat. Sean Paul),Jay Sean,Make My Love Go (feat. Sean Paul)
Ride It,Jay Sean,Ride It
Empire State Of Mind,JAY Z,The Blueprint 3
Infinity,Jaymes Young,Feel Something
Ain't Your Mama,Jennifer Lopez,Ain't Your Mama
First Love,Jennifer Lopez,A.K.A. (Deluxe)
On The Floor,Jennifer Lopez,LOVE?
Don't Be so Hard on Yourself,Jess Glynne,Don't Be so Hard on Yourself
Bang Bang,Jessie J/Ariana Grande/Nicki Minaj,Bang Bang
Flashlight,Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)"
I'd Love To Change The World,Jetta,I'd Love To Change The World (Matstubs Remix)
Speed,Jim Yosef,Speed
Please Don't Go,Joel Adams,Please Don't Go
Love Me Again,John Newman,Love Me Again
All Time Low,Jon Bellion,The Human Condition
Carry Your Throne,Jon Bellion,The Definition
By Your Side,Jonas Blue,By Your Side
Fast Car,Jonas Blue,Fast Car
Perfect Strangers,Jonas Blue,Perfect Strangers
New Friends,Jordana Bryant,New Friends
As Long As You Love Me,Justin Bieber,Believe (Deluxe Edition)
Baby,Justin Bieber,My World 2.0
Beauty And A Beat,Justin Bieber,Believe (Deluxe Edition)
Boyfriend,Justin Bieber,Believe (Deluxe Edition)
Company,Justin Bieber,Purpose (Deluxe)
Favorite Girl,Justin Bieber,My World (France Version)
Friends,Justin Bieber,Friends
Ghost,Justin Bieber,Justice
Love Me,Justin Bieber,My Worlds (International Version)
Love Yourself,Justin Bieber,Purpose (Deluxe)
Mood,Justin Bieber,Mood (Remix)
Never Say Never,Justin Bieber,Never Say Never - The Remixes
Peaches,Justin Bieber,Justice
Somebody To Love,Justin Bieber,My Worlds (International Version)
Sorry,Justin Bieber,Purpose
The Feeling,Justin Bieber,Purpose (Deluxe)
(Oh No) What You Got,Justin Timberlake,Justified
Cry Me a River,Justin Timberlake,Justified
Rock Your Body,Justin Timberlake,Justified
Say Something (feat. Chris Stapleton),Justin Timberlake,Man of the Woods
Voyage (Original Mix),K1T,In The Mix: K1T - Suicide Robot Labelshowcase
Your Eye,Kaivon,Your Eye
Broken Bones,Kaleo,A/B
Way down We Go,KALEO,Way down We Go
Moonlight,Kali Uchis,Moonlight
I Think I'm In Love,Kat Dahlia,My Garden
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love
Bon Appétit,Katy Perry,Witness (Deluxe)
California Gurls,Katy Perry,Teenage Dream: The Complete Confection
Chained To The Rhythm,Katy Perry,Witness (Deluxe)
Dark Horse,Katy Perry,PRISM (Deluxe)
Firework,Katy Perry,Teenage Dream: The Complete Confection
Harleys In Hawaii,Katy Perry,Harleys In Hawaii
Never Really Over,Katy Perry,Never Really Over
Rise,Katy Perry,Rise
Somewhere Only We Know,Keane,Hopes And Fears
Gangsta,Kehlani,Suicide Squad: The Album
Nights Like This (feat. Ty Dolla $ign),Kehlani,Nights Like This (feat. Ty Dolla $ign)
All The Stars,Kendrick Lamar,All The Stars
Strangers,Kenya Grace,Strangers
Cut Me Loose,Kerri Watt,Neptune's Daughter
Take It Off,Kesha,Animal (Expanded Edition)
TiK ToK,Kesha,Animal (Expanded Edition)
Saturday Nights,Khalid,Suncity
Light Up,Koven,Butterfly Effect (Deluxe)
Never Have I Felt This,Koven,Never Have I Felt This
Alibi (Far Out Remix),Krewella,Alibi & Runaway (Remixes)
Alibi,Krewella,Alibi
Alive,Krewella,Get Wet
Broken Record,Krewella,Broken Record
Human,Krewella,Get Wet
Live for the Night,Krewella,Get Wet
Team,Krewella,New World Pt. 1
Bombay Dreams (feat. Kavita Seth),KSHMR,Bombay Dreams (feat. Kavita Seth)
Close Your Eyes,KSHMR,Close Your Eyes
First Time,Kygo,Stargazing - EP
It Ain't Me,Kygo,Stargazing - EP
Stranger Things (feat. OneRepublic),Kygo,Kids in Love
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version)
Die With A Smile,Lady Gaga,Die With A Smile
Perfect Illusion,Lady Gaga,Joanne (Deluxe)
Cinnamon Girl,Lana Del Rey,Norman Fucking Rockwell!
Dark Paradise,Lana Del Rey,Born To Die (Deluxe Version)
Diet Mountain Dew,Lana Del Rey,Born To Die (Deluxe Version)
Summertime Sadness,Lana Del Rey,Born To Die (Deluxe Version)
Start It Over (feat. KC),Last Heroes/Man Cub/KC,Start It Over (feat. KC)
Lonely Eyes,Lauv,~how i'm feeling~
Who,Lauv,~NIGHT VIBES~
Warriors,League of Legends,Warriors
Blue Skies,Lenka,The Bright Side
Kissing Other People,Lennon Stella,Three. Two. One.
Faded Love,Leony,Faded Love
People,Libianca,People
INDUSTRY BABY,Lil Nas X,INDUSTRY BABY
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO
Old Town Road,Lil Nas X,7 EP
THATS WHAT I WANT,Lil Nas X,MONTERO
Carol Of The Bells,Lindsey Stirling,Warmer In The Winter (Deluxe Edition)
CASTLE OF GLASS,Linkin Park,LIVING THINGS
One More Light,Linkin Park,One More Light
What I've Done,Linkin Park,Minutes to Midnight
Black Magic,Little Mix,Get Weird (Expanded Edition)
Hair,Little Mix,Get Weird (Expanded Edition)
Love Me Like You,Little Mix,Get Weird (Expanded Edition)
No More Sad Songs (feat. Machine Gun Kelly),Little Mix,Glory Days (Expanded Edition)
No More Sad Songs,Little Mix,Glory Days (Expanded Edition)
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition)
"Secret Love Song, Pt. II",Little Mix,Get Weird (Expanded Edition)
1-800-273-8255,Logic,Everybody
Flexicution,Logic,Flexicution
Missing,London Grammar,Californian Soil
The Night We Met,Lord Huron,Strange Trails
Green Light,Lorde,Melodrama
Royals,Lorde,Pure Heroine
Dreams,Lost Sky,Dreams
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals)
"Audio (feat. Sia, Diplo & Labrinth)",LSD,"Audio (feat. Sia, Diplo & Labrinth)"
"Thunderclouds (feat. Sia, Diplo & Labrinth)",LSD,"Thunderclouds (feat. Sia, Diplo & Labrinth)"
Einaudi: Experience,Ludovico Einaudi,In A Time Lapse (Deluxe Edition)
Experience (Starkey Remix),Ludovico Einaudi,In A Time Lapse (Deluxe Edition)
Destroyer Of Worlds,Ludwig Goransson,Oppenheimer (Original Motion Picture Soundtrack)
Despacito,Luis Fonsi,Despacito
7 Years,Lukas Graham,Lukas Graham (Blue Album)
Paper Planes,M.I.A.,Paper Planes
Popular,M.I.A.,Popular
Time Traveller,M.I.A.,MATA
Midnight City,M83,"Hurry up, We're Dreaming"
Shadow (Maceo Plex Remix),Maceo Plex,Shadow (Remixes)
Bad Things,Machine Gun Kelly,bloom (Deluxe)
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist
Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ)
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is the Mission
Light It Up,Major Lazer,Peace Is The Mission
Animals,Maroon 5,Animals
Beautiful Mistakes,Maroon 5,JORDI (Deluxe)
Cold,Maroon 5,Red Pill Blues
Don't Wanna Know,Maroon 5,Red Pill Blues (Deluxe)
Girls Like You,Maroon 5,Red Pill Blues
Maps,Maroon 5,V
Memories,Maroon 5,JORDI (Deluxe)
One More Night,Maroon 5,Overexposed (Deluxe)
Payphone,Maroon 5,Overexposed
This Summer,Maroon 5,V
Wait,Maroon 5,Red Pill Blues (Deluxe)
Alone,Marshmello,Alone
Be Kind (Stripped),Marshmello,Be Kind (Stripped)
Be Kind,Marshmello,Be Kind
Find Me,Marshmello,Joytime
Animals,Martin Garrix,Animals
Carry You,Martin Garrix,Carry You
Forbidden Voices,Martin Garrix,Forbidden Voices
Forever,Martin Garrix,Forever
High On Life (feat. Bonn),Martin Garrix,High On Life (feat. Bonn)
In the Name of Love,Martin Garrix,In the Name of Love
Lions in the Wild,Martin Garrix,Lions in the Wild
No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn)
Pizza,Martin Garrix,Pizza
Poison,Martin Garrix,Poison
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely
Won’t Let You Go,Martin Garrix,Won’t Let You Go
Bad boy,Marwa Loud,Bad boy
Family Affair,Mary J. Blige,Reflections - A Retrospective
Girl at Coachella (feat. DRAM),Matoma,Girl At Coachella (feat. DRAM)
Better (feat. Yo Gotti),Meghan Trainor,Thank You (Deluxe Version)
Home,mgk,Home
I Took A Pill In Ibiza,Mike Posner,"At Night, Alone."
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version)
Get Ur Freak On,Missy Elliott,Miss E... So Addictive
Cheri Cheri Lady,Modern Talking,Original 80's
WDWG,Nana Lourdes,WDWG
Pocketful of Sunshine,Natasha Bedingfield,Strip Me Away
Time of Our Lives,Ne-Yo,Globalization
Some Say,Nea,Some Say
Gone,Nelly,5.0 Deluxe
Say It Right,Nelly Furtado,Loose
Close,Nick Jonas,Last Year Was Complicated
High School,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version)
Starships,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version)
Super Bass,Nicki Minaj,Pink Friday (Complete Edition)
Am I Wrong,Nico & Vinz,Black Star Elephant
Bye Bye Bye,*NSYNC,No Strings Attached
It's Gonna Be Me,*NSYNC,No Strings Attached
Best Song Ever,One Direction,Midnight Memories (Deluxe)
Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition)
Live While We're Young,One Direction,Take Me Home
Perfect (Stripped),One Direction,Perfect - EP
Perfect,One Direction,Made In The A.M. (Deluxe Edition)
Steal My Girl,One Direction,FOUR (Deluxe)
Story of My Life,One Direction,Midnight Memories (Deluxe)
What Makes You Beautiful,One Direction,Up All Night
Counting Stars,OneRepublic,Native
If I Lose Myself,OneRepublic,Native
If I Lose Myself,OneRepublic,Native
Kids,OneRepublic,Oh My My (Deluxe)
Wherever I Go,OneRepublic,Oh My My (Deluxe)
Fireflies,Owl City,Ocean Eyes
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"
Let Her Go,Passenger,Let Her Go
Happy,Pharrell Williams,G I R L
"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon
Do It Again,Pia Mia,Do It Again
We Should Be Together,Pia Mia,We Should Be Together
Hey Ma (feat. Camila Cabello) (Spanish Version),Pitbull,Hey Ma (feat. Camila Cabello)
Rain Over Me (feat. Marc Anthony),Pitbull,Planet Pit
Timber,Pitbull,Global Warming: Meltdown
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,Globalization
Running Up That Hill,Placebo,A Place For Us To Dream
Surrounded By Spies,Placebo,Surrounded By Spies
death bed (coffee for your head),Powfu,death bed (coffee for your head)
Bad Boy (feat. Luana Kiara),Raaban,Bad Boy (feat. Luana Kiara)
Broken Glass,Rachel Platten,Waves
Fight Song,Rachel Platten,Fight Song
Stand By You,Rachel Platten,Stand By You
Ghost Towns,Radical Face,The Family Tree: The Roots
Human,Rag'n'Bone Man,Human (Deluxe)
Bring Back the Summer (feat. OLY),Rain Man,Bring Back the Summer (feat. OLY)
Mute,Raja Kumari,The Come Up
